Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
Total Image Beauty Academy,3900 Bergenline ave,Union City,NJ,124,169.634283,2.983333333
Wood Tobe-Coburn School,8 E 40th St,New  York,NY,578,163.420573,2.883333333
Gemological Institute of America-New York,270 Madison Avenue 2nd Floor,New York,NY,351,163.420573,2.883333333
Stella and Charles Guttman Community College,50 West 40th Street,New York,NY,289,164.041944,2.9
Hair Design Institute at Fifth Avenue-New York,500 8th Ave," 8th Floor""",New York,418,165.284686,2.9
CUNY Graduate School and University Center,365 Fifth Ave,New York,NY,1863,164.041944,2.916666667
New York Institute of English and Business,248 W 35th St,New York,NY,719,165.284686,2.916666667
Institute of Allied Medical Professions-New York,225 West 34th Street,New York,NY,158,165.284686,2.9
DeVry College of New York's Keller Graduate School of Management,180 Madison Ave," Suite 900""",New York,0,164.041944,2.9
DeVry College of New York,180 Madison Ave Ste 900,New York,NY,2252,164.041944,2.9
DeVry College of New York,180 Madison Ave," Ste. 900""",New York,0,164.041944,2.9
Empire Beauty School-Manhattan,22 W 34th St,New York,NY,1372,165.906057,2.933333333
Studio Jewelers,32 E 31 St,New York,NY,140,164.041944,2.916666667
American Academy of Dramatic Arts-New York,120 Madison Ave,New York,NY,220,164.041944,2.916666667
Technical Career Institutes,320 W 31st St,New York,NY,5131,165.284686,2.916666667
New Age Training,145 West 30th Stree," 8th Floor""",New York,349,165.906057,2.95
Manhattan Institute,255 Fifth Avenue,New York,NY,1760,164.041944,2.933333333
A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,252 West 29th Street,New York,NY,0,165.906057,2.916666667
Atelier Esthetique Institute of Esthetics,386 Park Avenue Sout," Suite 1409""",New York,236,164.041944,2.933333333
Fashion Institute of Technology,227 W 27th St,New York,NY,12494,165.906057,2.933333333
Montclair State University,1 Normal Avenue - 855 Valley Road,Montclair,NJ,16649,179.576219,3.066666667
Phillips Beth Israel School of Nursing,766 The Avenue of the Americas 4th Floor,New York,NY,315,165.906057,2.95
Swedish Institute a College of Health Sciences,226 West 26th Street,New York,NY,615,165.906057,2.966666667
CUNY Bernard M Baruch College,One Bernard Baruch Way (55 Lexington Ave at 24th St),New York,NY,17885,164.663315,2.9
Micropower Career Institute,137W 25th street," 5th floor""",New York,359,165.906057,2.95
School of Visual Arts,209 E 23rd St,New York,NY,4712,164.041944,2.883333333
Touro College,27-33 W 23rd St,New York,NY,8931,164.663315,2.933333333
Institute of Culinary Education,50 W 23rd St,New York,NY,981,164.663315,2.916666667
The General Theological Seminary,440 West 21st Street,New York,NY,0,165.906057,2.916666667
Relay Graduate School of Education,40 W 20th S," 7th Fl""",New York,0,165.284686,2.95
New York Conservatory for Dramatic Arts,39 W 19th Street,New York,NY,273,166.527428,2.966666667
Midway Paris Beauty School,54-40 Myrtle Ave,Ridgewood,NY,146,165.906057,2.933333333
SAE Institute of Technology-New York,218 West 18th St Fl 4,New York,NY,324,166.527428,2.983333333
Carsten Institute of Cosmetology,22 E 17th Street-Second Floor,New York,NY,229,166.527428,3
Sanford-Brown Institute-New York,120 E 16th St," 4th Floor""",New York,2611,164.663315,2.916666667
The Collective School Of Music,541 Avenue of the Americas,New York,NY,52,166.527428,2.983333333
Tri-State College of Acupuncture,80 Eighth Ave Rm 400,New York,NY,0,165.906057,2.95
Star Career Academy-New York,154 W 14TH St 10th floor,New York,NY,1683,166.527428,2.966666667
American Academy of Personal Training,138 West 14th Street,New York,NY,0,166.527428,2.966666667
The New School,66 W 12th Street,New York,NY,8496,166.527428,2.983333333
Institute of Audio Research,64 University Place,New York,NY,895,165.284686,2.95
Joffrey Ballet School,434 Ave of the Americas,New York,NY,188,165.284686,2.983333333
Hohokus School-RETS Nutley,103 Park Ave,Nutley,NJ,866,173.98388,3.05
Cooper Union for the Advancement of Science and Art,7 East 7th Street,New York,NY,906,165.284686,2.933333333
Stevens Institute of Technology,Castle Point On Hudson,Hoboken,NJ,2590,168.391541,3.05
Hebrew Union College-Jewish Institute of Religion,One W 4th St,New York,NY,0,165.284686,2.966666667
New York University,70 Washington Sq South,New York,NY,26781,167.148799,3.016666667
United Talmudical Seminary,191 Rodney St.,Brooklyn,NY,1590,167.148799,2.933333333
Arrojo Cosmetology School,56 King St,New York,NY,120,167.148799,3
Rabbinical College of Ohr Shimon Yisroel,215-217 Hewes St,Brooklyn,NY,152,166.527428,2.95
Rabbinical College of Long Island,205 W Beech St,Long Beach,NY,131,174.605251,3.2
Aveda Institute-New York,233 Spring St,New York,NY,244,167.148799,3
The International Culinary Center,462 Broadway,New York,NY,953,167.77017,3.016666667
Metropolitan College of New York,431 Canal St,New York,NY,1263,167.148799,2.983333333
Sotheby's Institute of Art-NY,570 Lexington Avenu," 6th Floor""",New York,0,167.77017,3.033333333
Mesivtha Tifereth Jerusalem of America,145 E Broadway,New York,NY,70,166.527428,2.95
Professional Business College,408 Broadway 2nd Floor,New York,NY,2187,167.77017,3
The Art Institute of New York City,11-17 Beach Street,New York,NY,2061,167.77017,3
Sh'or Yoshuv Rabbinical College,1 Cedarlawn Avenue,Lawrence,NY,158,170.255654,3.033333333
New York Academy of Art,111 Franklin St,New York,NY,0,167.77017,3
New York Law School,185 West Broadway,New York,NY,0,167.77017,3
CUNY Borough of Manhattan Community College,199 Chambers St,New York,NY,32210,167.148799,2.983333333
Globe Institute of Technology,500 7th Ave,New York,NY,888,167.77017,3.016666667
Global Business Institute,1931 Mott Ave,Far Rockaway,NY,0,170.255654,3.05
Miami Ad School-New York,10 Jay Street,Brooklyn,NY,92,168.391541,2.983333333
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,802 Hicksville Rd,Far Rockaway,NY,81,170.255654,3.05
University of Phoenix-Jersey City Campus,100 Town Square Pl,Jersey City,NJ,683,170.255654,3.133333333
Pratt Institute-Main,200 Willoughby Ave,Brooklyn,NY,3717,167.77017,2.983333333
New York Career Institute,11 Park Place 4th Floor,New York,NY,1001,167.77017,2.983333333
Pace University-New York,1 Pace Plaza,New York,NY,9791,167.148799,2.95
Saint Joseph's College-New York,245 Clinton Ave,Brooklyn,NY,5391,167.77017,2.983333333
Pacific College of Oriental Medicine-New York,110 William St. 19th Fl,New York,NY,213,167.148799,2.966666667
Eastern International College-Jersey City,684 Newark Ave,Jersey City,NJ,229,172.119767,3.05
Beis Medrash Heichal Dovid,257 Beach 17th St,Far Rockaway,NY,118,171.498396,3.083333333
The Institute for Health Education,600 Pavonia Avenu," 1st floor""",Jersey City,177,172.741138,3.066666667
CUNY New York City College of Technology,300 Jay St,Brooklyn,NY,20079,168.391541,2.983333333
The King’s College,56 Broadway,New York,NY,583,168.391541,2.983333333
Polytechnic Institute of New York University,Six Metrotech Ctr,Brooklyn,NY,2175,168.391541,2.966666667
Institute of Design and Construction,141 Willoughby St,Brooklyn,NY,178,168.391541,2.95
Career Institute of Health and Technology,340 Flatbush Ave Ext-3rd Floor,Brooklyn,NY,593,169.012912,2.983333333
LIU Brooklyn,1 University Plaza,Brooklyn,NY,5764,168.391541,2.966666667
Hudson County Community College,70 Sip Avenue,Jersey City,NJ,12576,172.741138,3.066666667
ASA College,81 Willoughby Street,Brooklyn,NY,8881,168.391541,2.966666667
Mildred Elley-New York Campus,25 Broadway 16th Floor,New York,NY,1065,168.391541,3.05
P C Age-Jersey City,2815 Kennedy Blv," 3rd Floor""",Jersey City,301,172.119767,3.05
Mountainside School of Nursing,1 Bay Ave,Montclair,NJ,84,183.925816,3.133333333
Empire Beauty School-Jersey City,2800 John F. Kennedy Blvd,Jersey City,NJ,142,172.119767,3.066666667
Allen School-Brooklyn,188 Montague Street,Brooklyn,NY,890,168.391541,3
Eastern School of Acupuncture and Traditional Medicine,427 Bloomfield Avenu," Suite 301""",Montclair,90,183.304445,3.15
Brooklyn Law School,250 Joralemon St,Brooklyn,NY,0,169.012912,2.983333333
St Francis College,180 Remsen St,Brooklyn Heights,NY,3065,169.012912,3
Access Careers,25 Elm Place,Brooklyn,NY,763,168.391541,2.983333333
Starting Points Inc,2737 Kennedy Blvd,Jersey City,NJ,88,172.741138,3.066666667
InterCoast Career Institute-South Portland,207 Gannett Dr,South Portland,ME,531,170.877025,2.883333333
Saint Peter's University,2641 Kennedy Blvd,Jersey City,NJ,2734,173.362509,3.083333333
Bloomfield College,467 Franklin St,Bloomfield,NJ,2243,183.304445,3.1
Empire Beauty School-Bloomfield,15 Ward Street,Bloomfield,NJ,268,183.304445,3.116666667
Associated Beth Rivkah Schools,310 Crown St,Brooklyn,NY,137,169.012912,3.05
CUNY Medgar Evers College,1650 Bedford Ave,Brooklyn,NY,8668,169.012912,3.05
Northeast Technical Institute,51 US RT ," Suite K""",Scarborough,610,172.741138,2.866666667
Caldwell College,120 Bloomfield Avenue,Caldwell,NJ,1699,180.818961,3.233333333
SUNY Downstate Medical Center,450 Clarkson Ave,Brooklyn,NY,423,168.391541,3.066666667
Cosmotech School of Cosmetology,39 Mechanic Stree," Suite 500""",Westbrook,40,175.226622,2.933333333
Christine Valmy International School of Esthetics & Cosmetology,285 Changebridge Road,Pine Brook,NJ,194,183.925816,3.166666667
New Jersey City University,2039 Kennedy Blvd,Jersey City,NJ,7761,177.712106,3.15
Anthem Institute-Jersey City,40 Journal Squar," 1st Floor""",Jersey City,1003,177.712106,3.15
Star Career Academy-Newark,550 Broad Street 2nd Floor,Newark,NJ,1233,175.847993,3.066666667
CUNY Brooklyn College,2900 Bedford Ave,Brooklyn,NY,16559,170.877025,3.15
Mesivta Torah Vodaath Rabbinical Seminary,425 E 9th St,Brooklyn,NY,157,173.98388,3.116666667
Pillar College,60 Park Plac," Suite 701""",Newark,452,175.847993,3.1
Rutgers University-Newark,249 University Avenu," Blumenthal Hall""",Newark,9347,175.847993,3.1
New Jersey Institute of Technology,University Heights,Newark,NJ,8127,175.847993,3.1
Spa Tech Institute-Westbrook,100 Larrabee Road,Westbrook,ME,438,173.362509,2.9
Best Care Training Institute,68 South Harrison,East Orange,NJ,336,178.333477,3.116666667
Manhattan School of Computer Technology,931 Coney Island Avenue,"Brooklyn,",757,173.98388,3.116666667,
Eastern International College-Belleville,251 Washington Ave,Belleville,NJ,222,178.333477,3.116666667
Talmudical Seminary Oholei Torah,667 Eastern Pky,Brooklyn,NY,354,173.98388,3.1
Torah Temimah Talmudical Seminary,507 Ocean Pky,Brooklyn,NY,198,173.98388,3.1
Essex County College,303 University Ave,Newark,NJ,16079,176.469364,3.1
Drake College of Business-Newark,800 Broad St,Newark,NJ,2854,176.469364,3.116666667
Anthem Institute-Parsippany,959 Route 46 East,Parsippany,NJ,411,184.547187,3.166666667
Yeshiva Derech Chaim,1573 39th St,Brooklyn,NY,100,174.605251,3.133333333
National Career Institute,134 Evergreen Pl,East Orange,NJ,345,178.333477,3.133333333
University of Medicine and Dentistry of New Jersey,65 Bergen Stree," Room 1441""",Newark,1428,177.090735,3.116666667
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,510 Dahill Rd,Brooklyn,NY,45,173.98388,3.116666667
Beth Hamedrash Shaarei Yosher Institute,4102 16th Ave,Brooklyn,NY,39,173.98388,3.116666667
Yeshiva of Machzikai Hadas,1321 43rd St,Brooklyn,NY,334,174.605251,3.15
Yeshiva and Kollel Harbotzas Torah,1049 E 15th St,Brooklyn,NY,46,171.498396,3.183333333
Seminar L'moros Bais Yaakov,4412-20 15th Ave,Brooklyn,NY,316,174.605251,3.15
Central Yeshiva Tomchei Tmimim Lubavitz,841-853 Ocean Pky,Brooklyn,NY,645,174.605251,3.116666667
New Community Workforce Development Center,201 Bergen St,Newark,NJ,459,177.090735,3.133333333
Rabbinical College Bobover Yeshiva Bnei Zion,1577 48th St,Brooklyn,NY,270,174.605251,3.15
Talmudical Seminary of Bobov,5120 New Utrecht Ave,Brooklyn,NY,259,174.605251,3.166666667
Rabbinical College of Ch'san Sofer New York,1876 50th St,Brooklyn,NY,31,175.226622,3.166666667
Rabbinical Academy Mesivta Rabbi Chaim Berlin,1593 Coney Island Ave,Brooklyn,NY,156,175.226622,3.166666667
Machzikei Hadath Rabbinical College,5407 16th Ave,Brooklyn,NY,167,175.226622,3.166666667
Rabbinical Seminary M'kor Chaim,1571 55th St,Brooklyn,NY,52,175.226622,3.166666667
Yeshiva Karlin Stolin,1818 54th St,Brooklyn,NY,119,175.226622,3.183333333
Yeshiva Gedolah Imrei Yosef D'spinka,1466 56th St,Brooklyn,NY,130,175.226622,3.183333333
Saint Joseph's College of Maine,278 Whites Bridge Rd,Standish,ME,2550,189.518155,3.3
Yeshivat Mikdash Melech,1326 Ocean Pky,Brooklyn,NY,202,175.847993,3.166666667
Yeshivas Novominsk,1690 60th Street,Brooklyn,NY,156,175.847993,3.183333333
New York Methodist Hospital Center for Allied Health Education,1401 Kings Hwy,Brooklyn,NY,419,172.119767,3.2
Charles Stuart School of Diamond Setting,1420 Kings Hwy 2nd Fl,Brooklyn,NY,57,172.119767,3.183333333
Institute for Doctoral Studies in the Visual Arts,130 Neal Street,Portland,ME,0,174.605251,2.933333333
Mirrer Yeshiva Cent Institute,1791-5 Ocean Pky,Brooklyn,NY,186,175.847993,3.183333333
University of Southern Maine,96 Falmouth St,Portland,ME,9228,174.605251,2.916666667
Maine College of Art,522 Congress St.,Portland,ME,373,175.226622,2.916666667
Elite Academy of Beauty Arts,426 Kings Hwy,Brooklyn,NY,140,178.954848,3.2
Mohawk Valley Community College,1101 Sherman Dr,Utica,NY,10173,192.003639,3.033333333
Seton Hall University,400 S Orange Ave,South Orange,NJ,5833,180.19759,3.233333333
Hair Design Institute at Fifth Avenue-Brooklyn,375 86th Street,Brooklyn,NY,329,175.847993,3.133333333
Beth Hatalmud Rabbinical College,2127 82nd St,Brooklyn,NY,61,177.090735,3.216666667
EDP School of Computer Programming,1601 Voorhies Ave,Brooklyn,NY,126,176.469364,3.116666667
CUNY Kingsborough Community College,2001 Oriental Blvd,Brooklyn,NY,25143,177.712106,3.183333333
Career School of NY,350 St. Marks Pl,Staten Island,NY,81,181.440332,3.333333333
Empire Beauty School-Maine,319 Marginal Way,Portland,ME,517,175.226622,2.916666667
Empire Beauty School-Brooklyn,2384 86th St,Brooklyn,NY,13,178.333477,3.183333333
Merkaz Bnos-Business School,2115 Benson Avenue,Brooklyn,NY,327,179.576219,3.183333333
Morris County Vocational School District,400 E Main St,Denville,NJ,84,195.731865,3.233333333
The Salon Professional Academy-Williston,400 Cornerstone Drive Suite 220,Williston,VT,125,183.304445,2.85
O'Briens Aveda Institute,1475 Shelburne Rd,South Burlington,VT,98,188.275413,2.916666667
Southern Maine Community College,2 Fort Road,South Portland,ME,10321,177.712106,3.033333333
Kaplan University-Maine Campus,265 Western Ave,S Portland,ME,1416,177.090735,2.983333333
Utica School of Commerce,201 Bleecker St,Utica,NY,621,192.003639,2.966666667
Advanced Welding Institute,2 Green Tree Dr Ste 3,South Burlington,VT,61,184.547187,2.883333333
SUNY Institute of Technology at Utica-Rome,100 Seymour Rd,Utica,NY,1992,193.246381,2.983333333
Artistic Academy of Hair Design,301 Gibraltar Driv," Suite 1-A""",Morris Plains,275,196.353236,3.283333333
Yeshivas Be'er Yitzchok,1391 North Ave,Elizabeth,NJ,76,181.440332,3.2
Sussex County Community College,One College Hill Road,Newton,NJ,4840,204.431059,3.566666667
Saint Elizabeth Medical Center School of Radiography,2209 Genesee Street,Utica,NY,25,194.489123,3.083333333
Saint Elizabeth College of Nursing,2215 Genessee St,Utica,NY,201,194.489123,3.066666667
Wagner College,One Campus Rd,Staten Island,NY,1839,180.19759,3.25
Birthwise Midwifery School,24 South High Street,Bridgton,ME,52,208.159285,3.75
Lincoln Technical Institute-Union,2299 Vauxhall Rd,Union,NJ,1806,183.925816,3.216666667
Joe Kubert School of Cartoon and Graphic Art,37 Myrtle Ave,Dover,NJ,90,200.702833,3.35
Empire Beauty School-Union,1126 Morris Ave,Union,NJ,210,183.304445,3.266666667
Utica College,1600 Burrstone Rd,Utica,NY,3087,194.489123,3.083333333
Kean University,1000 Morris Avenue,Union,NJ,14472,182.683074,3.266666667
Healthcare Training Institute,1969 Morris Ave,Union,NJ,171,183.304445,3.216666667
Faxton-St Luke's Healthcare School of Radiologic Technology,Champlin Rd,Utica,NY,0,194.489123,3.1
Drake College of Business-Elizabeth,125 Broad St,Elizabeth,NJ,1927,182.061703,3.216666667
Champlain College,246 S. Willard St,Burlington,VT,3248,188.275413,2.933333333
University of Vermont,85 S Prospect St,Burlington,VT,13140,188.275413,2.933333333
College of Saint Elizabeth,2 Convent Rd,Morristown,NJ,1176,198.83872,3.333333333
Fairleigh Dickinson University-College at Florham,285 Madison Ave,Madison,NJ,2553,198.83872,3.333333333
Capri Institute of Hair Design-Kenilworth,660 N Michigan Ave,Kenilworth,NJ,296,184.547187,3.216666667
Saint Michael's College,One Winooski Park,Colchester,VT,2120,189.518155,2.933333333
Community College of Vermont,1 Abenaki Way,Winooski,VT,10429,188.896784,2.916666667
College of Staten Island CUNY,2800 Victory Blvd,Staten Island,NY,16279,187.032671,3.283333333
Rabbinical College of America,226 Sussex Ave,Morristown,NJ,231,198.83872,3.35
Burlington College,351 North Ave,Burlington,VT,226,190.139526,3.016666667
Drew University,36 Madison Ave,Madison,NJ,1878,200.081462,3.366666667
County College of Morris,214 Center Grove Rd,Randolph,NJ,12290,201.945575,3.4
St Paul's School of Nursing-Staten Island,Corporate Commons Tw, 2 Teleport Drive," Suite 203""",997,186.4113,3.283333333
Academy of Cosmetology and Esthetics NYC,187 New Dorp Ln,Staten Island,NY,208,182.061703,3.35
Lyndon State College,1001 College Rd,Lyndonville,VT,1569,169.012912,2.666666667
Union County College,1033 Springfield Ave,Cranford,NJ,17275,187.032671,3.333333333
Yeshiva Gedolah Zichron Leyma,1000 Orchard Terrace,Linden,NJ,43,185.789929,3.283333333
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,6678 County Rd 32,Norwich,NY,85,212.508882,3.45
Hamilton College,198 College Hill Rd,Clinton,NY,2048,207.537914,3.25
Union County Vocational Technical School,1776 Raritan Rd,Scotch Plains,NJ,138,192.003639,3.416666667
North Country Community College,23 Santanoni Avenue,Saranac Lake,NY,2634,244.820174,4.05
Assumption College for Sisters,350 Bernardsville Rd,Mendham,NJ,45,205.05243,3.5
Colgate University,13 Oak Dr,Hamilton,NY,3007,203.188317,3.55
Johnson State College,337 College Hill,Johnson,VT,1849,188.275413,3.216666667
Sanford-Brown Institute-Iselin,675 U.S Route ," 2nd Floor""",Iselin,1276,194.489123,3.366666667
Sterling College,16 Sterling Drive,Craftsbury Common,VT,118,193.246381,3.283333333
Robert Fiance Beauty Schools-North Plainfield,121 Watchung Ave,North Plainfield,NJ,284,195.731865,3.433333333
Muhlenberg Harold B and Dorothy A Snyder Schools-School of Imaging,Park Ave & Randolph Rd,Plainfield,NJ,144,196.974607,3.5
Muhlenberg Harold B and Dorothy A Snyder Schools-School of Nursing,Park Ave and Randolph Rd,Plainfield,NJ,551,196.974607,3.5
Lincoln Technical Institute-Edison,1697 Oak Tree Road,Edison,NJ,1093,194.489123,3.383333333
duCret School of Arts,1030 Central Ave,Plainfield,NJ,38,197.595978,3.516666667
Universal Training Institute,174 Jefferson Street,Perth Amboy,NJ,169,194.489123,3.383333333
Robert Fiance Beauty Schools-Perth Amboy,312 State St,Perth Amboy,NJ,344,194.489123,3.4
Centenary College,400 Jefferson St,Hackettstown,NJ,2146,216.237108,3.633333333
Morrisville State College,Whipple Administration Buildin," Route 20""",Morrisville,3684,201.945575,3.45
Everest Institute-South Plainfield,5000 Hadley Road,South Plainfield,NJ,1231,198.83872,3.433333333
Lincoln Technical Institute-South Plainfield,901 Hadley Road,South Plainfield,NJ,398,198.83872,3.433333333
American Institute of Medical Sciences & Education,4500 New Brunswick Ave,Piscataway,NJ,368,200.081462,3.433333333
Central Career Institute LLC,126 Corporate Blvd,South Plainfield,NJ,262,198.83872,3.416666667
P C Age-Edison,145 Talmadge R," Suite 19""",Edison,100,196.974607,3.4
The Salon Professional Academy-South Plainfield,4985 Stelton Rd,South Plainfield,NJ,132,200.081462,3.433333333
Middlesex County College,2600 Woodbridge Avenue,Edison,NJ,19561,196.353236,3.4
White Mountains Community College,2020 Riverside Road,Berlin,NH,1372,222.450818,3.733333333
StenoTech Career Institute-Piscataway,262 Old New Brunswick Rd - Unit A,Piscataway,NJ,121,201.945575,3.466666667
StenoTech Career Institute-Fairfield,262 Old New Brunswick Road - Ste A,Piscataway,NJ,48,201.945575,3.483333333
Madison Oneida BOCES-Practical Nursing Program,4937 Spring Rd,Verona,NY,106,213.130253,3.266666667
Rabbi Jacob Joseph School,One Plainfield Ave,Edison,NJ,80,197.595978,3.433333333
Clinton Community College,136 Clinton Point Dr,Plattsburgh,NY,2668,256.004852,4.016666667
Rutgers University-New Brunswick,83 Somerset St,New Brunswick,NJ,35660,201.324204,3.483333333
New Brunswick Theological Seminary,17 Seminary Place,New Brunswick,NJ,0,202.566946,3.516666667
Monmouth University,400 Cedar Ave,West Long Branch,NJ,5096,218.722592,3.766666667
Brookdale Community College,765 Newman Springs Rd,Lincroft,NJ,21213,211.26614,3.683333333
DeVry University's Keller Graduate School of Management-New Jersey,630 U.S. Highway One,North Brunswick,NJ,0,200.702833,3.466666667
DeVry University-New Jersey,630 US Hwy One,North Brunswick,NJ,0,200.702833,3.466666667
Mr Bernard's School of Hair Fashion Inc,711 Lisbon St,Lewiston,ME,214,206.295172,3.383333333
DeVry University-New Jersey,630 US Hwy. One,North Brunswick,NJ,2380,200.702833,3.45
Anthem Institute-North Brunswick,651 US Route ," South 1st Floor""",North Brunswick,494,200.702833,3.466666667
Paul Smiths College of Arts and Science,State Routes 30 and 86,Paul Smiths,NY,1128,257.247594,4.316666667
SUNY College at Plattsburgh,101 Broad Street,Plattsburgh,NY,6333,258.490336,4.016666667
Raritan Valley Community College,118 Lamington Road,Branchburg,NJ,12144,217.47985,3.566666667
Central Maine Medical Center College of Nursing and Health Professions,70 Middle Street,Lewiston,ME,277,205.673801,3.416666667
CVPH Medical Center School of Radiologic Technology,75 Beekman St,Plattsburgh,NY,23,257.247594,4
Clinton Essex Warren Washington BOCES-Practical Nursing Program,1585 Military Turnpike,Plattsburgh,NY,37,257.247594,4
Bowdoin College,255 Maine Street,Brunswick,ME,1947,200.702833,3.333333333
Medical Career Institute,901 West Park Ave,Ocean,NJ,91,217.47985,3.716666667
Bates College,2 Andrews Road,Lewiston,ME,1902,207.537914,3.45
East Stroudsburg University of Pennsylvania,200 Prospect Street,East Stroudsburg,PA,6949,223.69356,3.883333333
Central Maine Community College,1250 Turner Street,Auburn,ME,4085,207.537914,3.483333333
Empire Beauty School-Ocean,Rt 35 and Deal Rd,Ocean,NJ,183,219.965334,3.766666667
Stroudsburg School of Cosmetology,100 North 8th St,Stroudsburg,PA,76,225.557673,3.916666667
CDE Career Institute,1644 Route 611,Tannersville,PA,84,234.256867,4.033333333
Warren County Community College,475 Rte 57 W,Washington,NJ,2897,228.043157,3.916666667
Mesivta Keser Torah,503 Eleventh Avenue,Belmar,NJ,41,226.179044,3.85
Pennsylvania State University-Penn State Worthington Scranton,120 Ridge View Drive,Dunmore,PA,1415,241.091948,3.866666667
Monmouth County Vocational School District,4000 Kozloski Rd,Freehold,NJ,226,213.130253,3.716666667
ITT Technical Institute-Dunmore,1000 Meade St.- Suite 210,Dunmore,PA,361,239.227835,3.833333333
Johnson College,3427 N Main Ave,Scranton,PA,462,242.33469,3.866666667
Marywood University,2300 Adams Ave,Scranton,PA,2465,242.33469,3.95
Cazenovia College,22 Sullivan St,Cazenovia,NY,1365,215.615737,3.733333333
Career Technology Center of Lackawanna County,3201 Rockwell Ave,Scranton,PA,115,242.956061,3.916666667
Baptist Bible College & Seminary of Pennsylvania,538 Venard Rd,Clarks Summit,PA,804,247.927029,4.016666667
SUNY Broome Community College,907 Upper Front St,Binghamton,NY,8998,236.12098,3.65
Ann Marie's World of Beauty School,389 State St,Binghamton,NY,13,236.12098,3.65
Fortis Institute-Scranton,517 Ash Street,Scranton,PA,675,242.33469,3.933333333
The Commonwealth Medical College,525 Pine St,Scranton,PA,0,243.577432,3.933333333
Ridley-Lowell Business & Technical Institute-Binghamton,116 Front St,Binghamton,NY,370,236.742351,3.666666667
Lackawanna College,501 Vine St,Scranton,PA,2346,243.577432,3.916666667
University of Scranton,800 Linden Street,Scranton,PA,4183,242.956061,3.9
Talmudical Academy-New Jersey,Adelphia Road,Adelphia,NJ,89,214.372995,3.783333333
Yeshivath Beth Moshe,930 Hickory St,Scranton,PA,65,242.33469,3.9
Cortiva Institute-New Jersey,1985 Highway 34 South,Wall,NJ,64,223.69356,3.783333333
Broome Delaware Tioga BOCES-Practical Nursing Program,435 Glenwood Rd,Binghamton,NY,62,237.363722,3.733333333
Gentle Healing School of Massage,1274 South River Rd,Cranbury,NJ,41,210.644769,3.616666667
Keystone College,One College Green,La Plume,PA,2846,254.76211,4.183333333
Davis College,400 Riverside Drive,Johnson City,NY,421,240.470577,3.716666667
SUNY at Binghamton,4400 Vestal Parkway East,Vestal,NY,13437,241.091948,3.75
Susquehanna County Career and Technology Center,1 Schoolhouse Rd,Dimock,PA,20,259.111707,4.2
Empire Beauty School-Wyoming Valley,3370 Birney Avenue,Moosic,PA,312,246.062916,3.966666667
Princeton University,1 Nassau Hall,Princeton,NJ,5341,216.858479,3.85
Princeton Theological Seminary,64 Mercer St,Princeton,NJ,0,217.47985,3.85
Yeshiva Toras Chaim,999 Ridge Ave,Lakewood,NJ,148,230.528641,3.933333333
Bais Medrash Toras Chesed,901 Monmouth Ave,Lakewood,NJ,166,230.528641,3.95
Lafayette College,High St,Easton,PA,2529,244.198803,4.033333333
Georgian Court University,900 Lakewood Ave,Lakewood,NJ,1768,223.072189,4
Beth Medrash Govoha,617 6th St,Lakewood,NJ,2843,223.072189,3.983333333
Paul Mitchell the School-Jersey Shore,712 Route 70,Brick,NJ,130,231.771383,3.9
Yeshiva Yesodei Hatorah,2 Yesodei Court,Lakewood,NJ,79,234.256867,3.983333333
Capri Institute of Hair Design-Brick,268 Brick Blvd,Brick,NJ,296,233.635496,3.966666667
Star Career Academy–Brick,150 Brick Boulevard,Brick,NJ,763,233.014125,3.95
Mercer County Community College,1200 Old Trenton Rd,West Windsor,NJ,11970,224.314931,3.883333333
American Institute-Toms River,2363 Lakewood Rd,Toms River,NJ,79,234.878238,4
Harris School of Business-Hamilton Campus,3620 Quakerbridge Rd,Hamilton,NJ,575,225.557673,3.883333333
Performance Training Institute,1012 Cox Cro Rd,Toms River,NJ,0,235.499609,4
Ocean County College,College Drive,Toms River,NJ,15966,236.12098,4.066666667
Rider University,2083 Lawrence Road,Lawrenceville,NJ,4967,222.450818,3.95
Wilkes-Barre Area Career and Technical Center Practical Nursing,350 Jumper Rd,Wilkes Barre,PA,157,256.004852,4.15
Fortis Institute-Lawrenceville,2572 Brunswick Pik," Suite 100""",Lawrenceville,399,221.208076,3.9
Le Moyne College,1419 Salt Springs Rd,Syracuse,NY,3074,239.849206,3.7
Northampton County Area Community College,3835 Green Pond Rd,Bethlehem,PA,15170,252.897997,4.133333333
The College of New Jersey,2000 Pennington Road,Ewing,NJ,7124,225.557673,4.016666667
SUNY College at Cortland,Miller Administration Buildin," Graham Avenue""",Cortland,6934,257.247594,4.133333333
Ocean County Vocational-Technical School,137 Bey Lea  Rd,Toms River,NJ,544,237.363722,4
The Lab-Paul Mitchell Partner School,25 Scotch Rd,Ewing,NJ,168,228.043157,4.016666667
Syracuse University,900 South Crouse Ave.,Syracuse,NY,25932,243.577432,3.733333333
SUNY College of Environmental Science and Forestry,One Forestry Dr.,Syracuse,NY,1769,244.198803,3.75
Crouse Hospital College of Nursing,765 Irving Ave,Syracuse,NY,420,243.577432,3.716666667
